Season,League,Team,Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,Save%.1,Matches
2018-2019,LaLiga,Espanyol,Diego López,es ESP,GK,36,38,38,3420,38,50,1.32,167,117,73.7,14,11,13,10,26.3,8,6,2,25,
2018-2019,LaLiga,Athletic Club,Iago Herrerín,es ESP,GK,30,31,31,2790,31,32,1.03,87,55,66.7,12,10,9,10,32.3,3,3,0,0,
2018-2019,LaLiga,Athletic Club,Unai Simón,es ESP,GK,21,7,7,630,7,13,1.86,33,20,66.7,1,4,2,0,0,2,2,0,0,
2018-2019,LaLiga,Real Sociedad,Gerónimo Rulli,ar ARG,GK,26,27,27,2430,27,35,1.3,109,75,69.7,10,9,8,7,25.9,3,2,1,33.3,
2018-2019,LaLiga,Real Sociedad,Miguel Ángel Moyá,es ESP,GK,34,11,11,990,11,11,1,33,22,66.7,3,2,6,2,18.2,0,0,0,,
2018-2019,LaLiga,Betis,Pau López,es ESP,GK,23,33,33,2970,33,47,1.42,134,86,67.2,12,7,14,10,30.3,4,3,1,25,
2018-2019,LaLiga,Betis,Joel Robles,es ESP,GK,28,5,5,450,5,5,1,21,16,81,2,1,2,1,20,1,1,0,0,
2018-2019,LaLiga,Alavés,Fernando Pacheco,es ESP,GK,26,35,35,3150,35,46,1.31,154,110,74,11,11,13,8,22.9,6,6,0,0,
2018-2019,LaLiga,Alavés,Antonio Sivera,es ESP,GK,21,3,3,270,3,4,1.33,13,9,69.2,2,0,1,0,0,0,0,0,,
2018-2019,LaLiga,Eibar,Marko Dmitrović,rs SRB,GK,26,24,24,2160,24,30,1.25,86,55,68.6,9,6,9,5,20.8,4,3,1,25,
2018-2019,LaLiga,Eibar,Asier Riesgo,es ESP,GK,34,15,14,1260,14,20,1.43,46,27,56.5,2,8,4,4,28.6,0,0,0,,
2018-2019,LaLiga,Leganés,Iván Cuéllar,es ESP,GK,34,34,34,3056,33.9,38,1.12,115,78,68.7,10,12,12,9,26.5,2,2,0,0,
2018-2019,LaLiga,Leganés,Andriy Lunin,ua UKR,GK,19,5,4,364,4.1,5,1.24,19,13,78.9,1,0,3,2,50,2,1,1,50,
2018-2019,LaLiga,Villarreal,Sergio Asenjo,es ESP,GK,29,32,32,2880,32,45,1.41,162,119,73.5,7,12,13,9,28.1,4,2,1,33.3,
2018-2019,LaLiga,Villarreal,Andrés Fernández,es ESP,GK,31,6,6,540,6,7,1.17,23,16,73.9,3,2,1,2,33.3,1,1,0,0,
2018-2019,LaLiga,Levante,Oier Olazábal,es ESP,GK,28,21,21,1890,21,40,1.9,135,95,73.3,7,5,9,5,23.8,5,4,1,20,
2018-2019,LaLiga,Levante,Aitor Fernández,es ESP,GK,27,16,16,1440,16,24,1.5,83,60,75.9,4,5,7,2,12.5,4,4,0,0,
2018-2019,LaLiga,Levante,Koke Vegas,es ESP,GK,22,1,1,90,1,2,2,8,6,75,0,1,0,0,0,0,0,0,,
2018-2019,LaLiga,Valladolid,Jordi Masip,es ESP,GK,29,35,35,3150,35,45,1.29,143,96,72,10,9,16,9,25.7,8,5,3,37.5,
2018-2019,LaLiga,Valladolid,Yoel,es ESP,GK,29,3,3,270,3,6,2,12,6,58.3,0,2,1,0,0,1,1,0,0,
2018-2019,LaLiga,Celta Vigo,Rubén Blanco,es ESP,GK,23,25,25,2250,25,40,1.6,109,69,67,7,6,12,6,24,5,4,0,0,
2018-2019,LaLiga,Celta Vigo,Sergio Álvarez,es ESP,GK,31,13,13,1170,13,22,1.69,58,37,65.5,3,5,5,2,15.4,2,2,0,0,
2018-2019,LaLiga,Girona,Yassine Bounou,ma MAR,GK,27,32,32,2862,31.8,43,1.35,166,124,77.7,8,10,14,8,25,6,6,0,0,
2018-2019,LaLiga,Girona,Gorka Iraizoz,es ESP,GK,37,7,6,558,6.2,10,1.61,39,30,79.5,1,0,5,1,16.7,2,2,0,0,
2018-2019,LaLiga,Huesca,Roberto Santamaría,es ESP,GK,33,20,20,1800,20,30,1.5,96,67,75,5,7,8,6,30,6,6,0,0,
2018-2019,LaLiga,Huesca,Aleksandar Jovanović,rs SRB,GK,25,12,12,1080,12,19,1.58,46,28,63,1,4,7,0,0,2,2,0,0,
2018-2019,LaLiga,Huesca,Axel Werner,ar ARG,GK,22,6,6,540,6,16,2.67,32,17,53.1,1,1,4,0,0,1,1,0,0,
2018-2019,LaLiga,Rayo Vallecano,Stole Dimitrievski,mk MKD,GK,24,21,21,1890,21,35,1.67,95,59,69.5,5,4,12,3,14.3,7,6,1,14.3,
2018-2019,LaLiga,Rayo Vallecano,Alberto García,es ESP,GK,33,17,17,1530,17,35,2.06,87,50,60.9,3,4,10,4,23.5,4,1,3,75,
2018-2019,Ligue1,Paris S-G,Alphonse Areola,fr FRA,GK,25,21,21,1890,21,17,0.81,66,50,80.3,16,3,2,11,52.4,4,4,0,0,
2018-2019,Ligue1,Paris S-G,Gianluigi Buffon,it ITA,GK,40,17,17,1530,17,18,1.06,65,49,73.8,13,1,3,6,35.3,2,1,1,50,
2018-2019,Ligue1,Lille,Mike Maignan,fr FRA,GK,23,38,38,3420,38,33,0.87,125,90,78.4,22,9,7,15,39.5,10,6,2,25,
2018-2019,Ligue1,Lyon,Anthony Lopes,pt POR,GK,27,34,34,3060,34,42,1.24,134,95,72.4,18,9,7,9,26.5,5,5,0,0,
2018-2019,Ligue1,Lyon,Mathieu Gorgelin,fr FRA,GK,27,4,4,360,4,5,1.25,15,10,66.7,3,0,1,1,25,0,0,0,,
2018-2019,Ligue1,Saint-Étienne,Stéphane Ruffier,fr FRA,GK,31,37,37,3330,37,40,1.08,148,107,77.7,19,8,10,13,35.1,9,7,1,12.5,
2018-2019,Ligue1,Saint-Étienne,Jessy Moulin,fr FRA,GK,32,1,1,90,1,1,1,5,5,80,0,1,0,0,0,0,0,0,,
2018-2019,Ligue1,Marseille,Steve Mandanda,fr FRA,GK,33,31,31,2736,30.4,40,1.32,113,72,69.9,14,5,12,9,29,7,6,1,14.3,
2018-2019,Ligue1,Marseille,Yohann Pelé,fr FRA,GK,35,9,7,680,7.6,12,1.59,25,12,68,4,2,1,3,42.9,5,4,1,20,
2018-2019,Ligue1,Montpellier,Benjamin Lecomte,fr FRA,GK,27,37,37,3330,37,42,1.14,143,102,72.7,15,13,9,11,29.7,5,3,1,25,
